,tpid,tp_name,genename1,genename2,tp_moatype,tp_tcrd_tdl,gosemsinbp,gosemsincc,gosemsinmf,tp_keggpathways_no,tp_reactomepathways_no,tp_wikipathways_no,tp_associateddrugs_no,tp_associateddiseases_no,dcid,dc_name,dc_sourcetype,fdid,fd_name,md_name,maxphase
4503,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC01573,Nivolumab;Relatlimab,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1|Phase 2
4505,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC01573,Nivolumab;Relatlimab,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Approval
4506,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC01573,Nivolumab;Relatlimab,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Approval
4507,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC01573,Nivolumab;Relatlimab,DrugComb,FD00041,Stomach Cancer,Stomach Cancer,Approval
4509,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC00506,BI754111;Ezabenlimab,DrugComb,FD00033,Other Cancer,Other Cancer,Early Phase 1
4514,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC01303,Ieramilimab;Spartalizumab,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
4524,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC02279,Tobemstomig,BsAb,FD00006,Bladder Cancer,Bladder Cancer,Phase 2
4526,TP01404,LAG3;PDCD1,LAG3,PDCD1,CET+CET,Tclin+Tclin,0.508,0.913,1.0,0,0,0,19,15,DC02279,Tobemstomig,BsAb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 2
4542,TP01405,LAG3;TIGIT,LAG3,TIGIT,CET+CET,Tbio+Tclin,0.398,0.827,0.712,0,0,0,1,1,DC02307,ZGGS15,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
4543,TP01406,LAIR1;PDCD1,LAIR1,PDCD1,CET+CET,Tbio+Tclin,1.0,0.73,1.0,0,0,0,2,1,DC01528,NC410;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4545,TP01407,LGALS3;PDCD1,LGALS3,PDCD1,CET+CIT,Tchem+Tclin,0.325,0.475,1.0,0,0,1,1,1,DC00411,Belapectin;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4546,TP01408,LILRB1;LILRB2,LILRB1,LILRB2,CET+CET,Tbio+Tbio,0.578,0.736,0.892,2,1,0,1,1,DC02201,NGM707,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4547,TP01409,LILRB1;PDCD1,LILRB1,PDCD1,CET+CET,Tbio+Tclin,0.383,0.841,1.0,0,0,0,1,1,DC01544,NGM707;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4548,TP01410,LILRB2;PDCD1,LILRB2,PDCD1,CET+CET,Tbio+Tclin,0.373,0.576,1.0,0,0,0,4,2,DC01544,NGM707;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4549,TP01410,LILRB2;PDCD1,LILRB2,PDCD1,CET+CET,Tbio+Tclin,0.373,0.576,1.0,0,0,0,4,2,DC01815,Pimivalimab;Polzastobart,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
4552,TP01411,LILRB4;PDCD1,LILRB4,PDCD1,CET+CET,Tbio+Tclin,0.356,0.632,1.0,0,0,0,2,1,DC01479,MK0482;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
4554,TP01412,LRRC32;PDCD1,LRRC32,PDCD1,CET+CET,Tbio+Tclin,0.207,0.505,1.0,0,0,0,1,1,DC00604,Budigalimab;Livmoniplimab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4555,TP01413,MAGEA4;MAGEA8,MAGEA4,MAGEA8,CIT+CIT,Tbio+Tbio,0.513,1.0,1.0,0,0,0,1,1,DC02139,IMA401,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
4556,TP01414,MAP2K1;MAPK1,MAP2K1,MAPK1,CIT+CIT,Tchem+Tclin,0.649,0.844,0.774,90,11,91,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
4557,TP01414,MAP2K1;MAPK1,MAP2K1,MAPK1,CIT+CIT,Tchem+Tclin,0.649,0.844,0.774,90,11,91,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4558,TP01414,MAP2K1;MAPK1,MAP2K1,MAPK1,CIT+CIT,Tchem+Tclin,0.649,0.844,0.774,90,11,91,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00026,Melanoma,Melanoma,Phase 1
4559,TP01414,MAP2K1;MAPK1,MAP2K1,MAPK1,CIT+CIT,Tchem+Tclin,0.649,0.844,0.774,90,11,91,2,4,DC01491,MK8353;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4560,TP01415,MAP2K1;MAPK3,MAP2K1,MAPK3,CIT+CIT,Tchem+Tclin,0.643,0.895,0.789,90,12,78,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
4561,TP01415,MAP2K1;MAPK3,MAP2K1,MAPK3,CIT+CIT,Tchem+Tclin,0.643,0.895,0.789,90,12,78,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4562,TP01415,MAP2K1;MAPK3,MAP2K1,MAPK3,CIT+CIT,Tchem+Tclin,0.643,0.895,0.789,90,12,78,2,4,DC00788,Cobimetinib;Ravoxertinib,DrugComb,FD00026,Melanoma,Melanoma,Phase 1
4563,TP01415,MAP2K1;MAPK3,MAP2K1,MAPK3,CIT+CIT,Tchem+Tclin,0.643,0.895,0.789,90,12,78,2,4,DC01491,MK8353;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4564,TP01416,MAP2K1;MDM2,MAP2K1,MDM2,CIT+CIT,Tchem+Tclin,0.424,0.672,0.522,15,0,14,3,3,DC01906,Siremadlin;Trametinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
4565,TP01416,MAP2K1;MDM2,MAP2K1,MDM2,CIT+CIT,Tchem+Tclin,0.424,0.672,0.522,15,0,14,3,3,DC01522,Navtemadlin;Trametinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
4566,TP01416,MAP2K1;MDM2,MAP2K1,MDM2,CIT+CIT,Tchem+Tclin,0.424,0.672,0.522,15,0,14,3,3,DC01811,Pimasertib;SAR405838,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4567,TP01417,MAP2K1;MET,MAP2K1,MET,CIT+CIT,Tclin+Tclin,0.599,0.44,0.733,16,0,12,1,1,DC00664,Capmatinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4568,TP01418,MAP2K1;MTOR,MAP2K1,MTOR,CIT+CIT,Tclin+Tclin,0.466,0.625,0.721,35,0,37,7,5,DC01209,Gedatolisib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4569,TP01418,MAP2K1;MTOR,MAP2K1,MTOR,CIT+CIT,Tclin+Tclin,0.466,0.625,0.721,35,0,37,7,5,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4571,TP01418,MAP2K1;MTOR,MAP2K1,MTOR,CIT+CIT,Tclin+Tclin,0.466,0.625,0.721,35,0,37,7,5,DC00356,Avutometinib;Everolimus,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
4572,TP01418,MAP2K1;MTOR,MAP2K1,MTOR,CIT+CIT,Tclin+Tclin,0.466,0.625,0.721,35,0,37,7,5,DC01123,Everolimus;Trametinib,DrugComb,FD00017,Glioma,Glioma,Phase 1
4573,TP01418,MAP2K1;MTOR,MAP2K1,MTOR,CIT+CIT,Tclin+Tclin,0.466,0.625,0.721,35,0,37,7,5,DC01896,Selumetinib;Sirolimus,DrugComb,FD00040,Soft Tissue Sarcoma,Other Cancer,Phase 2
4576,TP01419,MAP2K1;PARP1,MAP2K1,PARP1,CIT+CIT,Tclin+Tclin,0.396,0.611,0.511,1,0,3,1,1,DC01617,Olaparib;Selumetinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4577,TP01420,MAP2K1;PARP2,MAP2K1,PARP2,CIT+CIT,Tclin+Tclin,0.325,0.568,0.447,1,0,0,1,1,DC01617,Olaparib;Selumetinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4578,TP01421,MAP2K1;PDCD1,MAP2K1,PDCD1,CET+CIT,Tclin+Tclin,0.297,0.391,1.0,2,0,1,3,3,DC01714,Pembrolizumab;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4579,TP01421,MAP2K1;PDCD1,MAP2K1,PDCD1,CET+CIT,Tclin+Tclin,0.297,0.391,1.0,2,0,1,3,3,DC01929,Spartalizumab;Trametinib,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
4580,TP01421,MAP2K1;PDCD1,MAP2K1,PDCD1,CET+CIT,Tclin+Tclin,0.297,0.391,1.0,2,0,1,3,3,DC01929,Spartalizumab;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4582,TP01422,MAP2K1;PIK3CA,MAP2K1,PIK3CA,CIT+CIT,Tclin+Tclin,0.476,0.588,0.816,71,0,44,6,2,DC01209,Gedatolisib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4583,TP01422,MAP2K1;PIK3CA,MAP2K1,PIK3CA,CIT+CIT,Tclin+Tclin,0.476,0.588,0.816,71,0,44,6,2,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4588,TP01423,MAP2K1;PIK3CB,MAP2K1,PIK3CB,CIT+CIT,Tchem+Tclin,0.473,0.71,0.64,71,0,30,1,1,DC00622,Buparlisib;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4589,TP01424,MAP2K1;PIK3CD,MAP2K1,PIK3CD,CIT+CIT,Tclin+Tclin,0.481,0.631,0.633,71,0,32,3,2,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4590,TP01424,MAP2K1;PIK3CD,MAP2K1,PIK3CD,CIT+CIT,Tclin+Tclin,0.481,0.631,0.633,71,0,32,3,2,DC00787,Cobimetinib;Pictilisib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4592,TP01425,MAP2K1;PIK3CG,MAP2K1,PIK3CG,CIT+CIT,Tclin+Tclin,0.444,0.611,0.761,9,0,18,1,1,DC00622,Buparlisib;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4593,TP01426,MAP2K1;PTK2,MAP2K1,PTK2,CET+CIT,Tclin+Tclin,0.569,0.788,0.735,16,0,24,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
4594,TP01426,MAP2K1;PTK2,MAP2K1,PTK2,CET+CIT,Tclin+Tclin,0.569,0.788,0.735,16,0,24,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4595,TP01426,MAP2K1;PTK2,MAP2K1,PTK2,CET+CIT,Tclin+Tclin,0.569,0.788,0.735,16,0,24,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1
4596,TP01426,MAP2K1;PTK2,MAP2K1,PTK2,CET+CIT,Tclin+Tclin,0.569,0.788,0.735,16,0,24,2,4,DC01253,GSK2256098;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4597,TP01427,MAP2K1;RAF1,MAP2K1,RAF1,CIT+CIT,Tclin+Tclin,0.603,0.758,0.804,79,9,77,5,5,DC01440,Lifirafenib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4599,TP01427,MAP2K1;RAF1,MAP2K1,RAF1,CIT+CIT,Tclin+Tclin,0.603,0.758,0.804,79,9,77,5,5,DC01969,Trametinib;XP102,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
4600,TP01427,MAP2K1;RAF1,MAP2K1,RAF1,CIT+CIT,Tclin+Tclin,0.603,0.758,0.804,79,9,77,5,5,DC01969,Trametinib;XP102,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
4601,TP01427,MAP2K1;RAF1,MAP2K1,RAF1,CIT+CIT,Tclin+Tclin,0.603,0.758,0.804,79,9,77,5,5,DC01969,Trametinib;XP102,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4602,TP01427,MAP2K1;RAF1,MAP2K1,RAF1,CIT+CIT,Tclin+Tclin,0.603,0.758,0.804,79,9,77,5,5,DC01969,Trametinib;XP102,DrugComb,FD00026,Melanoma,Melanoma,Phase 1|Phase 2
4606,TP01428,MAP2K1;ROS1,MAP2K1,ROS1,CIT+CIT,Tclin+Tclin,0.533,0.373,0.762,0,0,0,1,1,DC00535,Binimetinib;Lorlatinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4607,TP01429,MAP2K1;SOS1,MAP2K1,SOS1,CIT+CIT,Tchem+Tclin,0.531,0.592,0.418,46,0,52,2,1,DC00504,BI1701963;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4609,TP01430,MAP2K1;TGFB1,MAP2K1,TGFB1,CET+CIT,Tbio+Tclin,0.538,0.616,0.442,16,0,15,1,1,DC00546,Bintrafusp Alfa;Pimasertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4610,TP01431,MAP2K1;ULK1,MAP2K1,ULK1,CET+CIT,Tchem+Tclin,0.46,0.632,0.775,4,0,4,2,1,DC00873,DCC3116;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4612,TP01432,MAP2K1;ULK2,MAP2K1,ULK2,CET+CIT,Tchem+Tclin,0.387,0.555,0.803,4,0,3,2,1,DC00525,Binimetinib;DCC3116,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4614,TP01433,MAP2K2;MAPK1,MAP2K2,MAPK1,CIT+CIT,Tchem+Tclin,0.436,0.798,0.774,78,12,75,1,1,DC01491,MK8353;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4615,TP01434,MAP2K2;MAPK3,MAP2K2,MAPK3,CIT+CIT,Tchem+Tclin,0.49,0.818,0.79,78,11,67,1,1,DC01491,MK8353;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4616,TP01435,MAP2K2;MDM2,MAP2K2,MDM2,CIT+CIT,Tchem+Tclin,0.307,0.623,0.531,15,0,13,3,3,DC01522,Navtemadlin;Trametinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
4617,TP01435,MAP2K2;MDM2,MAP2K2,MDM2,CIT+CIT,Tchem+Tclin,0.307,0.623,0.531,15,0,13,3,3,DC01811,Pimasertib;SAR405838,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4618,TP01435,MAP2K2;MDM2,MAP2K2,MDM2,CIT+CIT,Tchem+Tclin,0.307,0.623,0.531,15,0,13,3,3,DC01906,Siremadlin;Trametinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
4619,TP01436,MAP2K2;MET,MAP2K2,MET,CIT+CIT,Tclin+Tclin,0.435,0.431,0.728,15,0,11,1,1,DC00664,Capmatinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4620,TP01437,MAP2K2;MTOR,MAP2K2,MTOR,CIT+CIT,Tclin+Tclin,0.349,0.607,0.706,34,0,33,7,5,DC01209,Gedatolisib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4621,TP01437,MAP2K2;MTOR,MAP2K2,MTOR,CIT+CIT,Tclin+Tclin,0.349,0.607,0.706,34,0,33,7,5,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4623,TP01437,MAP2K2;MTOR,MAP2K2,MTOR,CIT+CIT,Tclin+Tclin,0.349,0.607,0.706,34,0,33,7,5,DC00356,Avutometinib;Everolimus,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
4624,TP01437,MAP2K2;MTOR,MAP2K2,MTOR,CIT+CIT,Tclin+Tclin,0.349,0.607,0.706,34,0,33,7,5,DC01123,Everolimus;Trametinib,DrugComb,FD00017,Glioma,Glioma,Phase 1
4625,TP01437,MAP2K2;MTOR,MAP2K2,MTOR,CIT+CIT,Tclin+Tclin,0.349,0.607,0.706,34,0,33,7,5,DC01896,Selumetinib;Sirolimus,DrugComb,FD00040,Soft Tissue Sarcoma,Other Cancer,Phase 2
4628,TP01438,MAP2K2;PARP1,MAP2K2,PARP1,CIT+CIT,Tclin+Tclin,0.365,0.568,0.518,1,0,2,1,1,DC01617,Olaparib;Selumetinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4629,TP01439,MAP2K2;PARP2,MAP2K2,PARP2,CIT+CIT,Tclin+Tclin,0.382,0.503,0.431,1,0,0,1,1,DC01617,Olaparib;Selumetinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4630,TP01440,MAP2K2;PDCD1,MAP2K2,PDCD1,CET+CIT,Tclin+Tclin,0.154,0.32,1.0,2,0,1,3,3,DC01929,Spartalizumab;Trametinib,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
4631,TP01440,MAP2K2;PDCD1,MAP2K2,PDCD1,CET+CIT,Tclin+Tclin,0.154,0.32,1.0,2,0,1,3,3,DC01929,Spartalizumab;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4633,TP01440,MAP2K2;PDCD1,MAP2K2,PDCD1,CET+CIT,Tclin+Tclin,0.154,0.32,1.0,2,0,1,3,3,DC01714,Pembrolizumab;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4634,TP01441,MAP2K2;PIK3CA,MAP2K2,PIK3CA,CIT+CIT,Tclin+Tclin,0.342,0.589,0.76,63,0,39,5,2,DC01209,Gedatolisib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4635,TP01441,MAP2K2;PIK3CA,MAP2K2,PIK3CA,CIT+CIT,Tclin+Tclin,0.342,0.589,0.76,63,0,39,5,2,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4639,TP01442,MAP2K2;PIK3CB,MAP2K2,PIK3CB,CIT+CIT,Tchem+Tclin,0.377,0.656,0.613,63,0,28,1,1,DC00622,Buparlisib;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4640,TP01443,MAP2K2;PIK3CD,MAP2K2,PIK3CD,CIT+CIT,Tclin+Tclin,0.336,0.565,0.604,63,0,29,2,2,DC01813,Pimasertib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4641,TP01443,MAP2K2;PIK3CD,MAP2K2,PIK3CD,CIT+CIT,Tclin+Tclin,0.336,0.565,0.604,63,0,29,2,2,DC00622,Buparlisib;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4642,TP01444,MAP2K2;PIK3CG,MAP2K2,PIK3CG,CIT+CIT,Tclin+Tclin,0.343,0.55,0.732,7,0,15,1,1,DC00622,Buparlisib;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4643,TP01445,MAP2K2;PTK2,MAP2K2,PTK2,CET+CIT,Tclin+Tclin,0.405,0.718,0.731,14,0,18,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
4644,TP01445,MAP2K2;PTK2,MAP2K2,PTK2,CET+CIT,Tclin+Tclin,0.405,0.718,0.731,14,0,18,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
4645,TP01445,MAP2K2;PTK2,MAP2K2,PTK2,CET+CIT,Tclin+Tclin,0.405,0.718,0.731,14,0,18,2,4,DC00355,Avutometinib;Defactinib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1
4646,TP01445,MAP2K2;PTK2,MAP2K2,PTK2,CET+CIT,Tclin+Tclin,0.405,0.718,0.731,14,0,18,2,4,DC01253,GSK2256098;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4647,TP01446,MAP2K2;RAF1,MAP2K2,RAF1,CIT+CIT,Tclin+Tclin,0.461,0.689,0.855,71,9,64,5,5,DC00767,CFT1946;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
4649,TP01446,MAP2K2;RAF1,MAP2K2,RAF1,CIT+CIT,Tclin+Tclin,0.461,0.689,0.855,71,9,64,5,5,DC01969,Trametinib;XP102,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
4650,TP01446,MAP2K2;RAF1,MAP2K2,RAF1,CIT+CIT,Tclin+Tclin,0.461,0.689,0.855,71,9,64,5,5,DC01969,Trametinib;XP102,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
4651,TP01446,MAP2K2;RAF1,MAP2K2,RAF1,CIT+CIT,Tclin+Tclin,0.461,0.689,0.855,71,9,64,5,5,DC01969,Trametinib;XP102,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4652,TP01446,MAP2K2;RAF1,MAP2K2,RAF1,CIT+CIT,Tclin+Tclin,0.461,0.689,0.855,71,9,64,5,5,DC01969,Trametinib;XP102,DrugComb,FD00026,Melanoma,Melanoma,Phase 1|Phase 2
4656,TP01447,MAP2K2;ROS1,MAP2K2,ROS1,CIT+CIT,Tclin+Tclin,0.511,0.346,0.76,0,0,0,1,1,DC00535,Binimetinib;Lorlatinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4657,TP01448,MAP2K2;SOS1,MAP2K2,SOS1,CIT+CIT,Tchem+Tclin,0.369,0.545,0.403,43,0,43,2,1,DC00504,BI1701963;Trametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4659,TP01449,MAP2K2;TGFB1,MAP2K2,TGFB1,CET+CIT,Tbio+Tclin,0.37,0.649,0.447,14,0,12,1,1,DC00546,Bintrafusp Alfa;Pimasertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4660,TP01450,MAP2K2;ULK1,MAP2K2,ULK1,CET+CIT,Tchem+Tclin,0.395,0.608,0.774,4,0,4,2,1,DC00873,DCC3116;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4662,TP01451,MAP2K2;ULK2,MAP2K2,ULK2,CET+CIT,Tchem+Tclin,0.41,0.53,0.806,4,0,3,2,1,DC00873,DCC3116;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4664,TP01452,MAP4K1;PDCD1,MAP4K1,PDCD1,CET+CET,Tchem+Tclin,0.174,0.687,1.0,0,0,0,4,2,DC01805,PF07265028;Sasanlimab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4666,TP01452,MAP4K1;PDCD1,MAP4K1,PDCD1,CET+CET,Tchem+Tclin,0.174,0.687,1.0,0,0,0,4,2,DC01529,NDI101150;Pembrolizumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
4668,TP01453,MAP4K1;TNFSF4,MAP4K1,TNFSF4,CET+CIT,Tbio+Tchem,0.211,0.687,0.451,0,0,0,1,1,DC00493,BGB15025;BGBA445,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
4669,TP01454,MAPK1;PDCD1,MAPK1,PDCD1,CET+CIT,Tchem+Tclin,0.289,0.336,1.0,2,0,0,1,1,DC01490,MK8353;Pembrolizumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4670,TP01455,MAPK1;PTPN11,MAPK1,PTPN11,CIT+CIT,Tchem+Tchem,0.494,0.617,0.519,14,7,34,2,2,DC01955,Temuterkib;Vociprotafib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4671,TP01455,MAPK1;PTPN11,MAPK1,PTPN11,CIT+CIT,Tchem+Tchem,0.494,0.617,0.519,14,7,34,2,2,DC01033,ERAS007;ERAS601,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
4672,TP01456,MAPK1;RAF1,MAPK1,RAF1,CIT+CIT,Tchem+Tclin,0.537,0.733,0.865,82,10,84,1,2,DC01512,Naporafenib;Rineterkib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4673,TP01456,MAPK1;RAF1,MAPK1,RAF1,CIT+CIT,Tchem+Tclin,0.537,0.733,0.865,82,10,84,1,2,DC01512,Naporafenib;Rineterkib,DrugComb,FD00026,Melanoma,Melanoma,Phase 2
4674,TP01457,MAPK11;PDCD1,MAPK11,PDCD1,CET+CIT,Tchem+Tclin,0.251,0.284,1.0,2,0,0,1,1,DC01565,Nivolumab;Pexmetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4675,TP01458,MAPK14;PDCD1,MAPK14,PDCD1,CET+CIT,Tchem+Tclin,0.283,0.263,1.0,2,0,0,1,1,DC01565,Nivolumab;Pexmetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
4676,TP01459,MAPK3;PDCD1,MAPK3,PDCD1,CET+CIT,Tchem+Tclin,0.252,0.364,1.0,2,0,1,1,1,DC01490,MK8353;Pembrolizumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
4677,TP01460,MAPK3;PTPN11,MAPK3,PTPN11,CIT+CIT,Tchem+Tchem,0.477,0.68,0.539,14,7,28,2,2,DC01955,Temuterkib;Vociprotafib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
4678,TP01460,MAPK3;PTPN11,MAPK3,PTPN11,CIT+CIT,Tchem+Tchem,0.477,0.68,0.539,14,7,28,2,2,DC01033,ERAS007;ERAS601,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
4679,TP01461,MAPK3;RAF1,MAPK3,RAF1,CIT+CIT,Tchem+Tclin,0.566,0.81,0.893,82,10,70,1,2,DC01512,Naporafenib;Rineterkib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
