dcid	dc_name	dc_sourcetype	fdid	fd_name	md_name	maxphase
DC01963	Toripalimab;Vorolanib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01964	Toripalimab;YH001	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC01964	Toripalimab;YH001	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01965	Toripalimab;YH003	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01965	Toripalimab;YH003	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01965	Toripalimab;YH003	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC01966	Toripalimab;YH004	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01967	TQB2618;Teriprizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC01968	Trametinib;Uprosertib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01969	Trametinib;XP102	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC01969	Trametinib;XP102	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC01969	Trametinib;XP102	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01969	Trametinib;XP102	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC01970	TransCon IL-2 beta/gamma;TransCon TLR7/8 Agonist	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01970	TransCon IL-2 beta/gamma;TransCon TLR7/8 Agonist	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01971	Trastuzumab Deruxtecan;Tucatinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01972	Trastuzumab Deruxtecan;Valemetostat	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01973	Trastuzumab Deruxtecan;Volrustomig	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01974	Trastuzumab Deruxtecan;ZN-A-1041	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01975	Trastuzumab Emtansine;Tucatinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01975	Trastuzumab Emtansine;Tucatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01976	Trastuzumab Emtansine;Utomilumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01977	Trastuzumab Emtansine;ZN-A-1041	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01978	Trastuzumab;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01979	Trastuzumab;Tucatinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Approval
DC01979	Trastuzumab;Tucatinib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Approval
DC01979	Trastuzumab;Tucatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01980	Trastuzumab;Vatalanib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01981	Trastuzumab;Vorinostat	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01982	Tretinoin;Vandetanib	DrugComb	FD00031	Neuroblastoma	Other Cancer	Phase 1
DC01983	Tunlametinib;Vemurafenib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC01983	Tunlametinib;Vemurafenib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01983	Tunlametinib;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01984	Ublituximab;Umbralisib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2|Phase 3
DC01984	Ublituximab;Umbralisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2|Phase 3
DC01985	Ublituximab;Umbralisib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2|Phase 3
DC01985	Ublituximab;Umbralisib;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2|Phase 3
DC01986	Ublituximab;Zeripatamig	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01986	Ublituximab;Zeripatamig	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01987	Venetoclax;Voruciclib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01988	Venetoclax;Ziftomenib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01989	WX037;WX554	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01990	4G7xH22	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01990	4G7xH22	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01991	6MW3211	BsAb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC01991	6MW3211	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC01991	6MW3211	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01991	6MW3211	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC01991	6MW3211	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC01991	6MW3211	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01992	6MW3511	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01993	A319	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01994	AB248	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC01994	AB248	BsAb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1
DC01994	AB248	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01994	AB248	BsAb	FD00026	Melanoma	Melanoma	Phase 1
DC01995	ABBV184	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01995	ABBV184	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01996	ABBV383	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC01997	ABBV428	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01998	ABL001	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01999	ABL105	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02000	ABL501	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02001	ABL503	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02002	Acapatamab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02002	Acapatamab	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC02003	Acasunlimab	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC02003	Acasunlimab	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC02003	Acasunlimab	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC02003	Acasunlimab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02003	Acasunlimab	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1|Phase 2
DC02004	Acimtamig	BsAb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1|Phase 2
DC02004	Acimtamig	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC02005	AFM11	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02005	AFM11	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02006	AFM24	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC02006	AFM24	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC02006	AFM24	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02007	AFM28	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02008	AGEN1223	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02009	AK129	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02010	AK130	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02011	Alnuctamab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02012	AMG211	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC02013	AMG340	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02014	AMG424	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02015	AMG427	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02016	AMG509	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02017	AMG562	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02018	AMG794	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02018	AMG794	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1
DC02019	Amivantamab	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC02019	Amivantamab	BsAb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 2
DC02019	Amivantamab	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC02019	Amivantamab	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC02019	Amivantamab	BsAb	FD00023	Lung Cancer	Lung Cancer	Approval
DC02019	Amivantamab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02019	Amivantamab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC02020	AMX-818	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02021	Anbenitamab	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC02021	Anbenitamab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02021	Anbenitamab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 2
DC02022	AP203	BsAb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 1|Phase 2
DC02022	AP203	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC02022	AP203	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02023	APVO436	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02023	APVO436	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02024	ARB202	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC02024	ARB202	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC02024	ARB202	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC02024	ARB202	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC02025	ASP2138	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC02025	ASP2138	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC02026	ATG101	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02026	ATG101	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02027	ATOR1015	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02028	AZD7789	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02028	AZD7789	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02029	AZD9592	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC02029	AZD9592	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02030	B1962	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02031	BA1202	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02032	BA3182	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02033	Bafisontamab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02033	Bafisontamab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC02034	BAT7104	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02035	BCA101	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02036	BCD147	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02037	BGBB167	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02038	BI764532	BsAb	FD00017	Glioma	Glioma	Phase 1
DC02038	BI764532	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02038	BI764532	BsAb	FD00032	Neuroendocrine Tumor	Other Cancer	Phase 1|Phase 2
DC02039	BI765049	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC02039	BI765049	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC02039	BI765049	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC02039	BI765049	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02039	BI765049	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC02040	BI765179	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02041	BI836880	BsAb	FD00002	Anal Cancer	Other Cancer	Phase 2
DC02041	BI836880	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC02041	BI836880	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC02041	BI836880	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02041	BI836880	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02042	BI905677	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02043	BI905711	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC02043	BI905711	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC02043	BI905711	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC02044	Bintrafusp Alfa	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 2|Phase 3
DC02044	Bintrafusp Alfa	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC02044	Bintrafusp Alfa	BsAb	FD00031	Neuroblastoma	Other Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00033	Other Cancer	Other Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1|Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC02044	Bintrafusp Alfa	BsAb	FD00042	Thymic Carcinoma	Other Cancer	Phase 2
DC02045	BJ005	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02045	BJ005	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02046	BLB01D1	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC02046	BLB01D1	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02046	BLB01D1	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC02047	Blinatumomab	BsAb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 2
DC02047	Blinatumomab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Approval
DC02047	Blinatumomab	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 3
DC02047	Blinatumomab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Early Phase 1
DC02048	BLYG8824A	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC02049	BNT142	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02050	BPB101	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02051	BT7480	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02052	Cadonilimab	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC02052	Cadonilimab	BsAb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 2
DC02052	Cadonilimab	BsAb	FD00017	Glioma	Glioma	Phase 1
DC02052	Cadonilimab	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 3
DC02052	Cadonilimab	BsAb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC02052	Cadonilimab	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 3
DC02052	Cadonilimab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC02052	Cadonilimab	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02052	Cadonilimab	BsAb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC02052	Cadonilimab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02052	Cadonilimab	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Approval
DC02052	Cadonilimab	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC02052	Cadonilimab	BsAb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 2
DC02052	Cadonilimab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 3
DC02052	Cadonilimab	BsAb	FD00043	Vulvar Cancer	Other Cancer	Phase 2
DC02053	Catumaxomab	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1
DC02053	Catumaxomab	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC02053	Catumaxomab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 3
DC02053	Catumaxomab	BsAb	FD00047	Malignant Ascites	Other Cancer	Approval
DC02054	CBP1008	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02055	CBP1018	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02056	CC-1	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02056	CC-1	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02057	CC-3	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC02058	CCW702	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02059	CDX527	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02060	CDX585	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02061	Cergutuzumab Amunaleukin	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02062	Cevostamab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 2
DC02063	Cibisatamab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02063	Cibisatamab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02064	Cinrebafusp Alfa	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1
DC02064	Cinrebafusp Alfa	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC02064	Cinrebafusp Alfa	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC02065	CKD702	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02065	CKD702	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC02066	CLN049	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02066	CLN049	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02067	CLN978	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02068	CM336	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC02069	CM350	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02070	CM355	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02071	CN201	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC02072	CPO107	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02073	CVX241	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02074	CX904	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02075	D2C7IT	BsAb	FD00017	Glioma	Glioma	Phase 1
DC02076	Dalutrafusp Alfa	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02076	Dalutrafusp Alfa	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC02077	Davoceticept	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02078	Davutamig	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02079	Dilpacimab	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC02079	Dilpacimab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02080	DSP107	BsAb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC02080	DSP107	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02080	DSP107	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02080	DSP107	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02081	DT2219ARL	BsAb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1
DC02081	DT2219ARL	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02082	Duligotuzumab	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC02083	Duvortuxizumab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02083	Duvortuxizumab	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02084	DYP688	BsAb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC02085	Eciskafusp Alfa	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02086	Elranatamab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Approval
DC02087	Eluvixtamab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02087	Eluvixtamab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02088	EMB02	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02089	EMB06	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC02090	EMB07	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02091	EMB09	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02092	Emerfetamab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Early Phase 1
DC02093	Enristomig	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC02094	Ensomafusp Alfa	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02095	Epcoritamab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC02095	Epcoritamab	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Approval
DC02096	Eramkafusp Alfa	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02097	Erfonrilimab	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC02097	Erfonrilimab	BsAb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 2
DC02097	Erfonrilimab	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC02097	Erfonrilimab	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC02097	Erfonrilimab	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC02097	Erfonrilimab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 2
DC02097	Erfonrilimab	BsAb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 3
DC02097	Erfonrilimab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC02097	Erfonrilimab	BsAb	FD00042	Thymic Carcinoma	Other Cancer	Phase 2
DC02098	Ertumaxomab	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC02098	Ertumaxomab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC02099	ERY974	BsAb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC02099	ERY974	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02100	ES014	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02101	ES414	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02102	Etevritamab	BsAb	FD00017	Glioma	Glioma	Phase 1
DC02103	EX103	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02104	F182112	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC02105	FBTA05	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC02106	Fidasimtamab	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02106	Fidasimtamab	BsAb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC02107	Flotetuzumab	BsAb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 2
DC02107	Flotetuzumab	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC02107	Flotetuzumab	BsAb	FD00030	Myeloma	Hematologic Malignancy	Phase 2
DC02108	FS118	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC02109	FS120	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02110	FS222	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02111	GB261	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC02111	GB261	BsAb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC02112	GBR1302	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC02112	GBR1302	BsAb	FD00033	Other Cancer	Other Cancer	Phase 1
DC02113	GEM333	BsAb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC02114	GEM3PSCA	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1
DC02114	GEM3PSCA	BsAb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1
DC02114	GEM3PSCA	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC02114	GEM3PSCA	BsAb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC02115	GEN1044	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02116	GEN1047	BsAb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC02116	GEN1047	BsAb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC02116	GEN1047	BsAb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1|Phase 2
DC02117	GI101	BsAb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC02117	GI101	BsAb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
